抓取時間,是否開放申購,產品名稱,產品代碼,ISIN_CODE,票面利率,到期日,計價幣別,申購參考報價,申購報價日,贖回參考報價,贖回報價日,配息頻率,風險報酬等級,申購資格,走勢圖連結,產品說明書連結
2026-09-25 11:51:23,是,淡水河谷公司債券Ｉ,A343,US91912EAA38,5.625,2042/09/11,USD,97.52,2026/09/24,92.69,2026/09/24,半年,RR5,限專業投資人,https://wealth.esunbank.com/zh-tw/offshore-bond/price/chart?bondid=A343,https://wealth.esunbank.com/zh-tw/-/media/ESUNBANK/Files/Wealth/Bonds/bond_A343.pdf
2026-09-25 11:51:23,是,歐洲投資銀行債券ＩＸ,A347,XS0773669972,3.750,2032/06/01,SEK,102.96,2026/09/24,100.27,2026/09/24,年,RR3,,https://wealth.esunbank.com/zh-tw/offshore-bond/price/chart?bondid=A347,https://wealth.esunbank.com/zh-tw/-/media/ESUNBANK/Files/Wealth/Bonds/bond_A347.pdf
2026-09-25 11:51:23,否,固特異公司債券Ｉ,A351,US382550BG56,4.875,2027/03/15,USD,101.87,2026/07/23,99.29,2026/09/24,半年,RR5,限OBU專業投資人,https://wealth.esunbank.com/zh-tw/offshore-bond/price/chart?bondid=A351,https://wealth.esunbank.com/zh-tw/-/media/ESUNBANK/Files/Wealth/Bonds/bond_A351.pdf
2026-09-25 11:51:23,否,威瑞森電信公司債券ＩＩＩ,A357,AU3CB0246239,4.500,2027/08/17,AUD,100.27,2024/04/26,98.94,2026/09/24,半年,RR4,,https://wealth.esunbank.com/zh-tw/offshore-bond/price/chart?bondid=A357,https://wealth.esunbank.com/zh-tw/-/media/ESUNBANK/Files/Wealth/Bonds/bond_A357.pdf
2026-09-25 11:51:23,否,歐洲復興開發銀行零息債券ＩＩＩ,A359,XS0076593267,無配息,2027/06/17,ZAR,93.31,2026/03/06,94.63,2026/09/24,-,RR3,,https://wealth.esunbank.com/zh-tw/offshore-bond/price/chart?bondid=A359,https://wealth.esunbank.com/zh-tw/-/media/ESUNBANK/Files/Wealth/Bonds/bond_A359.pdf
2026-09-25 11:51:23,否,歐洲投資銀行債券Ｘ,A361,XS1167524922,8.125,2026/12/21,ZAR,102.87,2025/06/02,99.91,2026/09/24,年,RR3,,https://wealth.esunbank.com/zh-tw/offshore-bond/price/chart?bondid=A361,https://wealth.esunbank.com/zh-tw/-/media/ESUNBANK/Files/Wealth/Bonds/bond_A361.pdf
2026-09-25 11:51:23,是,高通公司債券Ｉ,A363,US747525AV54,4.300,2047/05/20,USD,81.53,2026/09/24,76.76,2026/09/24,半年,RR3,,https://wealth.esunbank.com/zh-tw/offshore-bond/price/chart?bondid=A363,https://wealth.esunbank.com/zh-tw/-/media/ESUNBANK/Files/Wealth/Bonds/bond_A363.pdf
2026-09-25 11:51:23,是,康卡斯特公司債券Ｉ,A364,US20030NBZ33,4.000,2047/08/15,USD,71.47,2026/09/24,66.22,2026/09/24,半年,RR3,,https://wealth.esunbank.com/zh-tw/offshore-bond/price/chart?bondid=A364,https://wealth.esunbank.com/zh-tw/-/media/ESUNBANK/Files/Wealth/Bonds/bond_A364.pdf
2026-09-25 11:51:23,是,康卡斯特公司債券ＩＩ,A365,US20030NBT72,3.200,2036/07/15,USD,81.08,2026/09/24,77.80,2026/09/24,半年,RR3,,https://wealth.esunbank.com/zh-tw/offshore-bond/price/chart?bondid=A365,https://wealth.esunbank.com/zh-tw/-/media/ESUNBANK/Files/Wealth/Bonds/bond_A365.pdf
2026-09-25 11:51:23,是,軟體銀行集團債券Ｖ,A367,XS1684384867,5.125,2027/09/19,USD,100.44,2026/09/24,98.79,2026/09/24,半年,RR5,限專業投資人,https://wealth.esunbank.com/zh-tw/offshore-bond/price/chart?bondid=A367,https://wealth.esunbank.com/zh-tw/-/media/ESUNBANK/Files/Wealth/Bonds/bond_A367.pdf
